description,industry,level,size,line_code,value
Business status Alert Level 4: Not operating,Manufacturing,1,total,C0301.03,2667
Business status Alert Level 4: Not operating,"Food, beverage, & tobacco",2,total,C0301.03,369
Business status Alert Level 4: Not operating,"Textile, clothing, footwear, & leather",2,total,C0301.03,144
Business status Alert Level 4: Not operating,Wood & paper product,2,total,C0301.03,336
Business status Alert Level 4: Not operating,"Printing, publishing, & recorded media",2,total,C0301.03,87
Business status Alert Level 4: Not operating,"Petroleum, coal, chemical, & associated product",2,total,C0301.03,135
Business status Alert Level 4: Not operating,Non-metallic mineral product,2,total,C0301.03,141
Business status Alert Level 4: Not operating,Metal product,2,total,C0301.03,594
Business status Alert Level 4: Not operating,Transport and industrial machinery & equipment,2,total,C0301.03,486
Business status Alert Level 4: Not operating,Other machinery & equipment,2,total,C0301.03,99
Business status Alert Level 4: Not operating,Other manufacturing,2,total,C0301.03,270
Business status Alert Level 4: Not operating,"Electricity, gas, water, & waste services",1,total,C0301.03,39
Business status Alert Level 4: Not operating,Construction,1,total,C0301.03,4290
Business status Alert Level 4: Not operating,Wholesale trade,1,total,C0301.03,987
Business status Alert Level 4: Not operating,Machinery & equipment wholesaling,2,total,C0301.03,234
Business status Alert Level 4: Not operating,Other wholesale trade,2,total,C0301.03,753
Business status Alert Level 4: Not operating,Retail trade,1,total,C0301.03,2052
Business status Alert Level 4: Not operating,Accommodation & food services,1,total,C0301.03,5757
Business status Alert Level 4: Not operating,"Transport, postal, & warehousing",1,total,C0301.03,390
Business status Alert Level 4: Not operating,Information media & telecommunications,1,total,C0301.03,105
Business status Alert Level 4: Not operating,Publishing,2,total,C0301.03,15
Business status Alert Level 4: Not operating,Motion picture,2,total,C0301.03,75
Business status Alert Level 4: Not operating,Telecommunications,2,total,C0301.03,15
Business status Alert Level 4: Not operating,Financial & insurance services,1,total,C0301.03,24
Business status Alert Level 4: Not operating,Finance,2,total,C0301.03,24
Business status Alert Level 4: Not operating,Insurance,2,total,C0301.03,3
Business status Alert Level 4: Not operating,Auxiliary,2,total,C0301.03,0
Business status Alert Level 4: Not operating,"Rental, hiring, & real estate services",1,total,C0301.03,345
Business status Alert Level 4: Not operating,"Professional, scientific, & technical services",1,total,C0301.03,558
Business status Alert Level 4: Not operating,Computer systems design,2,total,C0301.03,27
Business status Alert Level 4: Not operating,Other professional scientific,2,total,C0301.03,531
Business status Alert Level 4: Not operating,Administrative & support services,1,total,C0301.03,642
Business status Alert Level 4: Not operating,Education & training,1,total,C0301.03,726
Business status Alert Level 4: Not operating,Health care & social assistance,1,total,C0301.03,1152
Business status Alert Level 4: Not operating,Arts & recreation services,1,total,C0301.03,435
Business status Alert Level 4: Not operating,Other services,1,total,C0301.03,645
Business status Alert Level 4: Not operating,total,0,total,C0301.03,21684
Business status Alert Level 3: Fully operational,total,0,6–19 employees,C0302.01,10917
Business status Alert Level 3: Fully operational,total,0,20–49 employees,C0302.01,2868
Business status Alert Level 3: Fully operational,total,0,50–99 employees,C0302.01,1053
Business status Alert Level 3: Fully operational,total,0,100+ employees,C0302.01,981
Business status Alert Level 3: Fully operational,"Agriculture, forestry, & fishing",1,total,C0302.01,2766
Business status Alert Level 3: Fully operational,Agriculture,2,total,C0302.01,2088
Business status Alert Level 3: Fully operational,Commercial fishing,2,total,C0302.01,27
Business status Alert Level 3: Fully operational,Forestry & logging,2,total,C0302.01,147
